NameString,RefString
"Scapanes australis (Boisduval, 1835)","Boisduval J.B. Voyage de découvertes de l’Astrolabe. Exécuté par ordre du Roi, pendant les années 1826, 1827, 1829, sous le commandement de M.J.Dumont d'Urville. Faune Entomologique de l'Océan Pacifique, avec l'illustration des insectes nouveaux receuillis pendant le voyage. 2me partie. Coléoptères et autres Ordres. Tatsu. Paris 2:1-716 (152-247). (1835)."
"Catalabus kazantsevi Legalov, 2007",
"Tachysphex julliani africanus Pulawski, 1971",
"Discodes minor (Mercet, 1921)","Noyes, J.S. On the types of the species of Encyrtidae described by R. Garcia Mercet (Hymenoptera: Chalcidoidea). JOURBOOK: Eos. Revista Española di Entomologia. Madrid. VOLUME: 55/56 PAGES: 165-189. (1981)."
Oontomyces,
Rheedia cincta Urb.,Urb. In: Symb. Antill. 9: 404. (1925).
Chlorospatha castula (Madison) Madison,Madison. In: Selbyana 5: 356. (1981).
"Oranmorpha andreinii dongolliana Brölemann, 1903",
Acacia burrowii Maiden,Maiden. In: J. Proc. Roy. Soc. New South Wales 53: 227 (1920). (1920).
Dendrobium lewisiae Schuit. & de Vogel,Schuit. & de Vogel. In: Malesian Orchid J. 4: 104. (2009).
"Viviparus (Viviparus) subsphaeridius Datsenko, 2007","Gozhik, P.F., Datsenko, L.N. Presnovodnyye Mollyuski pozdnego kaynozoya yuga Vostochnoy Yevropy. Chast' II. Natsional'naya Akademiya Nauk Ukrainy, Institut Geologicheskikh Nauk, Kiev. (2007)."
"Cortinarius subvelatus (Rob.Henry) Bidaud & Moënne-Locc., 2008","Bidaud, A.; Moënne-Loccoz, P.; Reumaux, P.; Carteret, X.; Eyssartier, G. In: Atlas des Cortinaires (Meyzieu) 17(1):1178. (2008)."
"Barbatia avellanaria Melvill & Standen, 1907","Huber, M. Compendium of bivalves. A full-color guide to 3,300 of the world's marine bivalves. A status on Bivalvia after 250 years of research. Hackenheim: ConchBooks. 901 pp., 1 CD-ROM. (2010)."
Empoasca (Empoasca) calcea,"DeLong, D.M., Knull, D.J. Check list of the Cicadellidae (Homoptera) of America, north of Mexico. Columbus: Ohio St. Univ. Press. 1945. V? p. (1946)."
"Polyporus clypeatus (Pat.) Rick, 1907","Rick, J.E. In: Brotéria, sér. bot. 6(no. 2):82. (1907)."
"Candacia elongata (Boeck, 1872)",
"Uvigerina nodosa d'Orbigny, 1826",
"Pseudoprotaetia pilicollis Kraatz, 1897",
"Oecobius dolosus Wunderlich, 1987","Wunderlich, J. Die Spinnen der Kanarischen Inseln und Madeiras: Adaptive Radiation, Biogeographie, Revisionen und Neubeschreibungen. Triops Langen 435 pp. (1987)."
"Compsus (Compsus) lepidus Boheman, 1840",
"Ceuthorhynchus sophiae Gyllenhal, 1837",
"Cnemidothrix meridionalis Paulian, 1945","Paulian R. Les Celeuthetides des Nouvelles Hebrides (Coleoptera. Curculionidae). Revue Francaise d'Entomologie 11: 179–202 1 map, 70 figs. (1945)."
Stigmaphyllon bonariense (Hook. & Arn.) C.E.Anderson,"C. E. Anderson. In: Brittonia, 48(4): 543. (1997)."
"Macrosporium bulbotrichum (Corda) Fr., 1849","Fries, E.M. In: Summa veg. Scand., Sectio Post. (Stockholm):501. (1849)."
"Eucosma galactitis Meyrick, 1912",
"Dichoptera herbida Walker, 1851",
"Degeeriella baliola Blagoveshtchensky, 1951",
"Glenopopillia rufipennis Lin, 1980",Lin P. A New Genus and Two New Species of Rutelidae from South China. Acta Zootaxonomica Sinica 5(1):75-78. (1980).
"Systates (Systates) vicinalis Faust, 1889",
"Dapsilarthra tirolensis (Konigsmann, 1972)","Konigsmann, E. Zur Kenntnis verschiedener Gattungen der Alysiinae nebst Beschreibung der neuen Gattung Paraorthostigma (Hymenoptera, Braconidae). Deutsche Entomologische Zeitschrift. 19(I/III):21-30. (1972)."
Elsholtzia densa Benth.,Benth. In: Labiat. Gen. Spec.: 714. (1835).
"Gymnodinium wulffii Schiller, 1933",
Aphis (Aphis) spiraephaga,
"Pedicia (Crunobia) zernyi (Lackschewitz, 1940)",
"Anomala ruficapilla Burmeister, 1855","Burmeister H.C.C. Handbuch der Entomologie. Coleoptera Lamellicornia, Phyllophaga, Chaenochela. Berlin 4(2):1-570. (1855)."
"Mabuia bibronii Boulenger, 1890",
"Phaeochrous davidis Fairmaire, 1886",
"Hypocaccus (Hypocaccus) bigener (J.E.LeConte, 1844)",
"Pectinaster mimicus malayanus Döderlein, 1921",
Southwellina,
"Odontostilbe madeirae Fowler, 1913",
"Heteroepichloe sasae (Hara) E.Tanaka, C.Tanaka, Gafur & Tsuda, 2002","Tanaka, E.; Tanaka, C.; Gafur, A.; Tsuda, M. Heteroepichloë, gen. nov. (Clavicipitaceae; Ascomycotina) on bamboo plants in East Asia. In: Mycoscience 43(2):92. (2002)."
